ID,Descriçãodosalimentos,Energia,Prot.(A),Prot.(V),Gordura,Carbo,Fibra,Sódio
518,"Mostarda,folha,crua",18.11,0.00,2.11,0.17,3.24,1.89,2.879
519,"Nabo,cru",18.19,0.00,1.20,0.05,4.15,2.64,2.460
520,NesfitMixPacote(21g),0.00,1.15,1.15,3.60,13.00,1.50,0.000
521,"Nêspera,crua",42.54,0.00,0.31,0.00,11.53,2.96,0.000
522,"Nhoque,batata,cozido",180.78,0.00,5.86,1.94,36.78,1.78,7.068
523,"Noz,crua",620.06,0.00,13.97,59.36,18.36,7.25,4.571
524,Nutella,0.00,0.00,6.00,31.50,55.00,3.00,0.000
525,"Óleo,debabaçu",884.00,0.00,0.00,100.00,0.00,0.00,0.000
526,"Óleo,decanola",884.00,0.00,0.00,100.00,0.00,0.00,0.000
527,"Óleo,degirassol",884.00,0.00,0.00,100.00,0.00,0.00,0.000
528,"Óleo,demilho",884.00,0.00,0.00,100.00,0.00,0.00,0.000
529,"Óleo,depequi",884.00,0.00,0.00,100.00,0.00,0.00,0.000
530,"Óleo,desoja",884.00,0.00,0.00,100.00,0.00,0.00,0.000
531,"Omelete,dequeijo",268.01,15.57,0.00,22.01,0.44,0.00,216.051
532,Ovo(Unidade+/-55g),0.00,6.30,0.00,5.30,0.00,0.00,0.000
533,"Ovo,decodorna,inteiro,cru",176.89,13.69,0.00,12.68,0.77,0.00,128.987
534,"Ovo,degalinha,clara,cozida/10minutos",59.44,13.45,0.00,0.09,0.00,0.00,180.538
535,"Ovo,degalinha,gema,cozida/10minutos",352.67,15.90,0.00,30.78,1.56,0.00,44.909
536,"Ovo,degalinha,inteiro,cozido/10minutos",145.70,13.29,0.00,9.48,0.61,0.00,145.901
537,"Ovo,degalinha,inteiro,cru",143.11,13.03,0.00,8.90,1.64,0.00,167.910
538,"Ovo,degalinha,inteiro,frito",240.19,15.62,0.00,18.59,1.19,0.00,166.112
539,PaçocaCaseira,617,0.0,27.2,43.9,20.3,8.0,0
540,PaçocaKukita-1unid=16g,494,0.0,12.5,18.8,62.5,6.3,0.000
541,"Paçoca,amendoim",486.93,0.00,16.00,26.08,52.38,7.32,166.841
542,"Palmito,juçara,emconserva",23.20,0.00,1.79,0.40,4.33,3.15,513.820
543,"Palmito,pupunha,emconserva",29.43,0.00,2.46,0.45,5.51,2.55,562.685
544,"Pamonha,barraparacozimento,pré-cozida",171.22,0.00,2.55,4.85,30.68,2.37,131.993
545,PãoBranco,0.00,4.30,4.30,2.00,52.00,2.60,0.000
546,PãoCenoura,0.00,6.10,6.10,1.60,42.00,5.00,0.000
547,PãodeCachorroQuente,0.00,2.30,2.30,1.60,44.00,1.60,0.000
548,PãodeLeite,0.00,2.10,2.10,1.42,40.00,1.54,0.000
549,PãoFrancês(Unid.50g),0.00,2.40,2.00,1.50,25.95,1.50,0.000
550,PãoHot-DogTrigoVita,0.00,2.30,2.30,1.60,44.00,16.00,0.000
551,PãoWickboldAveia,0.00,5.60,5.60,1.40,44.00,4.20,0.000
552,"Pão,aveia,forma",343.09,0.00,12.35,5.69,59.57,5.98,605.763
553,"Pão,dequeijo,assado",363.08,0.00,5.12,24.57,34.24,0.56,773.493
554,"Pão,dequeijo,cru",294.54,0.00,3.65,13.99,38.51,0.98,404.994
555,"Pão,desoja",308.73,0.00,11.34,3.58,56.51,5.71,662.541
556,"Pão,glúten,forma",252.99,0.00,11.95,2.73,44.12,2.48,22.045
557,"Pão,milho,forma",292.01,0.00,8.30,3.11,56.40,4.30,506.644
558,"Pão,trigo,forma,integral",253.19,0.00,9.43,3.65,49.94,6.88,506.103
559,"Pão,trigo,francês",299.81,0.00,7.95,3.10,58.65,2.31,647.673
560,"Pão,trigo,sovado",310.96,0.00,8.40,2.84,61.45,2.43,430.792
561,"Pastel,decarne,cru",288.70,10.74,0.00,8.79,42.02,1.04,1309.265
562,"Pastel,decarne,frito",388.37,10.10,0.00,20.14,43.77,0.99,1039.889
563,"Pastel,dequeijo,cru",308.47,9.85,0.00,9.63,45.95,1.11,984.570
564,"Pastel,dequeijo,frito",422.11,8.71,0.00,22.67,48.13,0.94,821.382
565,"Pastel,massa,crua",310.20,0.00,6.90,5.48,57.38,1.41,1344.201
566,"Pastel,massa,frita",569.67,0.00,6.02,40.86,49.34,1.31,1174.667
567,Patinho,0.00,30.00,0.00,7.30,0.00,0.00,0.000
568,"Pé-de-moleque,amendoim",503.19,0.00,13.16,28.05,54.73,3.39,16.345
569,PeitodeFrango,0.00,28.04,0.00,3.57,0.00,0.00,0.000
570,PeitodePeru,107.00,20.00,0.00,2.00,2.00,0.00,0.000
571,PeitodePeru,0.00,24.00,0.00,2.00,0.00,0.00,0.000
572,PeixeEnsopado/Cozido,0.00,28.60,0.00,6.00,0.00,0.00,0.000
573,PeixeFrito,0.00,23.00,0.00,8.40,1.70,0.00,0.000
574,Pepino,0.00,0.00,0.65,0.11,3.63,0.50,0.000
575,"Pepino,cru",9.53,0.00,0.87,0.00,2.04,1.12,0.000
576,"Pequi,cru",204.97,0.00,2.34,17.97,12.97,19.04,0.000
577,Pera,0.00,0.00,0.60,0.10,14.00,3.00,0.000
578,"Pêra,Park,crua",60.59,0.00,0.24,0.23,16.07,2.98,0.982
579,"Pêra,Williams,crua",53.31,0.00,0.57,0.11,14.02,3.01,0.000
580,PernildePorco,0.00,29.41,0.00,9.44,0.00,0.00,0.000
581,"Peru,congelado,assado",163.07,26.20,0.00,5.68,0.00,0.00,627.876
582,"Peru,congelado,cru",93.72,18.08,0.00,1.83,0.00,0.00,710.683
